brain,scenario,method,tissue_pct,skull_pct
vp_569965,standard,sg,97.86888081646774,86.1328125
vp_569965,standard,sg_c,95.46445251686559,70.78125
vp_569965,reduced_compute,baseline,5.313959522573949,19.921875
vp_569965,reduced_compute,dg,55.90728247708009,64.4140625
vp_569965,reduced_compute,dg_c,91.80418612696766,82.65625
vp_569965,reduced_compute,sg,98.26327624978377,89.609375
vp_569965,reduced_compute,sg_c,97.2184743124027,76.4453125
vp_569965,missing_low_freq,baseline,5.310499913509773,17.0703125
vp_569965,missing_low_freq,dg,5.307040304445597,41.5234375
vp_569965,missing_low_freq,dg_c,84.5528455284553,75.8203125
vp_569965,missing_low_freq,sg,5.5941878567721846,35.7421875
vp_569965,missing_low_freq,sg_c,81.95121951219512,85.0390625
vp_172029,standard,baseline,98.05745473752164,34.004602991944765
vp_172029,standard,dg,91.601866251944,87.74453394706559
vp_172029,standard,dg_c,92.69344757768714,87.91714614499425
vp_172029,standard,sg,97.90486810058981,65.07479861910241
vp_172029,standard,sg_c,85.26658646087033,47.6409666283084
vp_172029,reduced_compute,baseline,13.691716306229642,21.058688147295744
vp_172029,reduced_compute,dg,82.7283664426773,83.31415420023015
vp_172029,reduced_compute,dg_c,94.4863405616362,92.63521288837745
vp_172029,reduced_compute,sg,97.06270723906218,78.25086306098964
vp_172029,reduced_compute,sg_c,86.15863141524106,61.85270425776754
vp_172029,missing_low_freq,baseline,13.580210686933302,16.28308400460299
vp_172029,missing_low_freq,dg,80.18427770767921,72.38204833141542
vp_172029,missing_low_freq,dg_c,97.1301974823205,94.70655926352129
vp_172029,missing_low_freq,sg,96.59320989465652,80.60989643268124
vp_172029,missing_low_freq,sg_c,45.40626192083101,54.83314154200231
vp_177645,standard,baseline,96.45544342616695,46.85825621042377
vp_177645,standard,dg,86.35666654780158,75.98636142230882
vp_177645,standard,dg_c,93.14623970331277,70.96931320019483
vp_177645,standard,sg,96.18443105231252,86.4101315148563
vp_177645,standard,sg_c,93.27461398566487,60.204578665367755
vp_177645,reduced_compute,baseline,5.555753664015976,18.655625913297612
vp_177645,reduced_compute,dg,79.80601219555682,78.22698490014612
vp_177645,reduced_compute,dg_c,92.80747423599472,82.22113979542134
vp_177645,reduced_compute,sg,96.48753699675498,75.79152459814905
vp_177645,reduced_compute,sg_c,95.80287415754377,72.82026302971262
vp_177645,missing_low_freq,baseline,5.5521877117284175,15.002435460301996
vp_177645,missing_low_freq,dg,5.577149377741326,35.411592791037506
vp_177645,missing_low_freq,dg_c,87.83653674713833,75.01217730150998
vp_177645,missing_low_freq,sg,5.81250222872018,26.838772528007794
vp_177645,missing_low_freq,sg_c,76.91759084263452,84.21821724305893
vp_930449,standard,baseline,98.25320760550316,26.14445574771109
vp_930449,standard,dg,84.6189519245633,75.89013224821973
vp_930449,standard,dg_c,87.95408873087031,83.82502543234995
