brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_128026,missing_low_freq,baseline,9.47,24.4,failed,0,89.705,2.401,1480.401,689.703,0.9018,18.45,29452,2492,42877
vp_128026,missing_low_freq,dg,9.47,27.89,failed,0,83.657,11.898,1486.544,735.683,0.9009,17.835,29452,2492,42877
vp_128026,missing_low_freq,dg_c,93.03,71.99,converged,1,16.667,22.813,1575.748,266.872,0.9486,20.948,29452,2492,42877
vp_128026,missing_low_freq,sg,9.64,35.87,failed,0,84.997,11.627,1485.24,608.985,0.9108,18.872,29452,2492,42877
vp_128026,missing_low_freq,sg_c,77.85,63.92,converged,1,31.56,33.142,1555.637,260.01,0.9681,23.792,29452,2492,42877
vp_562446,standard,baseline,8.39,42.95,failed,0,85.378,24.016,1486.462,482.174,0.9222,19.39,30568,3071,44697
vp_562446,standard,dg,96.98,84.47,converged,1,12.154,18.59,1561.546,189.916,0.9683,22.552,30568,3071,44697
vp_562446,standard,dg_c,96.3,81.76,converged,1,15.399,18.967,1577.194,193.47,0.9687,22.64,30568,3071,44697
vp_562446,standard,sg,97.72,85.61,converged,1,10.997,18.865,1571.411,168.369,0.9849,24.713,30568,3071,44697
vp_562446,standard,sg_c,96.24,82.38,converged,1,12.107,21.139,1563.636,181.461,0.985,24.71,30568,3071,44697
vp_562446,reduced_compute,baseline,5.45,31.49,failed,0,88.24,0.466,1480.044,744.875,0.9,17.931,30568,3071,44697
vp_562446,reduced_compute,dg,5.76,19.21,failed,0,80.027,13.548,1489.158,804.752,0.9046,17.642,30568,3071,44697
vp_562446,reduced_compute,dg_c,77.58,71.12,converged,1,25.408,22.06,1586.725,293.634,0.9473,20.983,30568,3071,44697
vp_562446,reduced_compute,sg,98.31,90.75,converged,1,10.257,18.982,1564.7,157.891,0.9717,23.011,30568,3071,44697
vp_562446,reduced_compute,sg_c,94.28,87.04,converged,1,14.697,22.608,1567.687,167.369,0.9771,23.994,30568,3071,44697
vp_562446,missing_low_freq,baseline,5.45,28.1,failed,0,88.267,0.226,1480.01,779.367,0.8996,17.942,30568,3071,44697
vp_562446,missing_low_freq,dg,5.45,20.35,failed,0,83.506,8.872,1484.743,731.91,0.9022,17.782,30568,3071,44697
vp_562446,missing_low_freq,dg_c,85.98,63.86,converged,1,20.744,22.879,1576.885,367.78,0.9329,20.296,30568,3071,44697
vp_562446,missing_low_freq,sg,5.82,39.95,failed,0,82.003,11.099,1486.47,613.863,0.9159,18.686,30568,3071,44697
vp_562446,missing_low_freq,sg_c,78.84,91.08,converged,1,28.544,26.0,1546.299,144.712,0.9749,24.334,30568,3071,44697
vp_170631,standard,baseline,86.53,60.37,converged,1,22.598,19.345,1584.647,280.754,0.9592,22.885,28134,2690,41462
vp_170631,standard,dg,88.84,74.35,converged,1,19.431,21.08,1574.015,216.395,0.9575,23.041,28134,2690,41462
vp_170631,standard,dg_c,89.65,78.81,converged,1,18.654,20.517,1574.462,203.989,0.9587,23.081,28134,2690,41462
vp_170631,standard,sg,98.08,84.94,converged,1,11.816,16.828,1559.412,177.583,0.9716,23.961,28134,2690,41462
vp_170631,standard,sg_c,94.06,75.99,converged,1,14.835,20.367,1561.872,217.861,0.9791,24.696,28134,2690,41462
vp_170631,reduced_compute,baseline,4.86,17.17,failed,0,86.967,1.053,1480.117,632.962,0.9072,18.988,28134,2690,41462
vp_170631,reduced_compute,dg,62.02,63.79,converged,1,35.17,24.975,1593.099,357.671,0.9332,21.338,28134,2690,41462
vp_170631,reduced_compute,dg_c,81.75,72.57,converged,1,26.664,22.989,1584.196,303.454,0.9448,22.034,28134,2690,41462
vp_170631,reduced_compute,sg,98.08,88.96,converged,1,10.817,17.359,1567.156,160.347,0.9604,23.092,28134,2690,41462
vp_170631,reduced_compute,sg_c,95.06,84.28,converged,1,13.613,19.71,1567.757,182.645,0.9739,24.346,28134,2690,41462
vp_170631,missing_low_freq,baseline,4.86,13.12,failed,0,87.05,0.329,1480.025,679.883,0.9043,18.838,28134,2690,41462
vp_170631,missing_low_freq,dg,4.86,30.78,failed,0,86.57,2.455,1480.516,547.809,0.9178,19.653,28134,2690,41462
vp_170631,missing_low_freq,dg_c,71.31,61.9,converged,1,33.914,26.526,1590.18,369.336,0.9369,21.527,28134,2690,41462
vp_170631,missing_low_freq,sg,5.03,28.81,failed,0,85.487,6.38,1481.752,518.131,0.9119,19.494,28134,2690,41462
vp_170631,missing_low_freq,sg_c,82.42,87.51,converged,1,25.122,21.883,1547.087,166.674,0.97,24.13,28134,2690,41462
vp_134021,standard,baseline,91.69,59.84,buffer,0,18.223,25.301,1573.955,273.867,0.9567,22.031,25469,2547,38055
vp_134021,standard,dg,88.72,80.84,converged,1,21.116,21.177,1583.262,236.201,0.9625,22.462,25469,2547,38055
vp_134021,standard,dg_c,88.68,80.41,converged,1,21.314,21.232,1583.804,241.21,0.9622,22.388,25469,2547,38055
vp_134021,standard,sg,96.65,92.5,converged,1,12.265,20.393,1568.903,153.046,0.9699,23.323,25469,2547,38055
vp_134021,standard,sg_c,94.77,92.11,converged,1,14.798,21.052,1557.829,147.412,0.9812,24.514,25469,2547,38055
vp_134021,reduced_compute,baseline,6.56,20.26,failed,0,89.745,0.8,1480.06,760.105,0.903,18.161,25469,2547,38055
vp_134021,reduced_compute,dg,64.33,39.07,buffer,0,38.523,34.732,1591.546,568.172,0.9194,19.47,25469,2547,38055
vp_134021,reduced_compute,dg_c,51.63,61.44,buffer,0,38.864,27.003,1600.058,418.635,0.9335,20.506,25469,2547,38055
vp_134021,reduced_compute,sg,66.26,84.45,converged,1,31.457,22.547,1595.281,216.784,0.9526,21.946,25469,2547,38055
vp_134021,reduced_compute,sg_c,93.11,88.77,converged,1,18.203,21.462,1581.041,164.758,0.9722,23.611,25469,2547,38055
vp_134021,missing_low_freq,baseline,6.56,13.9,failed,0,89.801,0.022,1480.0,872.102,0.8969,17.859,25469,2547,38055
vp_134021,missing_low_freq,dg,6.57,40.64,failed,0,89.426,2.521,1480.406,619.11,0.9131,18.78,25469,2547,38055
vp_134021,missing_low_freq,dg_c,51.0,61.13,buffer,0,40.721,29.488,1600.355,450.0,0.9339,20.53,25469,2547,38055
vp_134021,missing_low_freq,sg,6.6,25.6,failed,0,85.357,9.75,1484.756,726.573,0.9012,18.215,25469,2547,38055
vp_134021,missing_low_freq,sg_c,94.57,88.1,converged,1,16.362,22.203,1576.925,164.695,0.977,24.233,25469,2547,38055
vp_101309,standard,baseline,81.38,61.79,converged,1,26.412,21.49,1589.899,248.487,0.9619,23.44,29396,2795,42980
vp_101309,standard,dg,93.93,90.52,converged,1,18.346,17.018,1582.627,151.788,0.9708,24.015,29396,2795,42980
vp_101309,standard,dg_c,97.5,94.92,converged,1,11.273,16.012,1563.546,131.801,0.9716,23.891,29396,2795,42980
vp_101309,standard,sg,97.4,84.26,converged,1,12.454,17.323,1562.335,175.782,0.9803,25.072,29396,2795,42980
vp_101309,standard,sg_c,94.48,73.77,converged,1,14.564,21.022,1568.796,212.918,0.9819,25.335,29396,2795,42980
vp_101309,reduced_compute,baseline,4.27,18.78,failed,0,89.835,17.413,1482.173,594.973,0.913,19.509,29396,2795,42980
vp_101309,reduced_compute,dg,53.14,59.53,buffer,0,42.431,27.718,1603.438,351.385,0.9383,21.457,29396,2795,42980
vp_101309,reduced_compute,dg_c,80.0,90.27,converged,1,24.724,18.279,1589.556,160.974,0.957,22.949,29396,2795,42980
vp_101309,reduced_compute,sg,97.72,90.45,converged,1,10.856,16.937,1566.974,147.843,0.9737,24.44,29396,2795,42980
vp_101309,reduced_compute,sg_c,94.81,80.0,converged,1,17.329,21.109,1577.393,188.362,0.979,25.166,29396,2795,42980
vp_101309,missing_low_freq,baseline,4.17,14.45,failed,0,89.711,3.3,1480.441,645.436,0.9111,19.316,29396,2795,42980
vp_101309,missing_low_freq,dg,9.63,36.89,failed,0,83.292,23.054,1489.438,546.518,0.917,19.701,29396,2795,42980
vp_101309,missing_low_freq,dg_c,72.26,84.87,converged,1,28.709,19.282,1592.924,192.544,0.9494,22.562,29396,2795,42980
vp_101309,missing_low_freq,sg,9.6,45.01,failed,0,84.227,26.162,1489.559,439.536,0.9266,20.639,29396,2795,42980
vp_101309,missing_low_freq,sg_c,93.69,78.32,converged,1,16.227,21.741,1571.374,193.795,0.979,25.275,29396,2795,42980
vp_102513,standard,baseline,13.47,63.3,failed,0,89.824,61.423,1502.116,605.552,0.9201,19.388,31526,2763,45367
vp_102513,standard,dg,94.64,83.79,converged,1,13.606,17.936,1560.638,221.907,0.9707,22.1,31526,2763,45367
vp_102513,standard,dg_c,94.88,80.28,converged,1,13.38,17.896,1561.849,234.24,0.969,21.915,31526,2763,45367
vp_102513,standard,sg,93.39,92.29,converged,1,15.574,20.062,1569.085,141.244,0.9823,24.227,31526,2763,45367
vp_102513,standard,sg_c,92.48,92.65,converged,1,16.512,22.589,1562.848,137.045,0.9829,24.388,31526,2763,45367
